images_66 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.8161, nll : +0.0476, mse_loss : +0.0553, l1_loss : +0.1635, perceptual_edge_loss : +0.0000, psnr : +11.7233, ssim : +0.4262
images_66 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.8089, nll : +0.0433, mse_loss : +0.0164, l1_loss : +0.0729, perceptual_edge_loss : +0.0000, psnr : +16.5216, ssim : +0.5290
images_66 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.1779, nll : +0.0408, mse_loss : +0.0144, l1_loss : +0.0659, perceptual_edge_loss : +0.0000, psnr : +16.9702, ssim : +0.5736
images_66 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.1605, nll : +0.0409, mse_loss : +0.0141, l1_loss : +0.0628, perceptual_edge_loss : +0.0000, psnr : +16.7138, ssim : +0.5656
images_66 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.9980, nll : +0.0400, mse_loss : +0.0124, l1_loss : +0.0582, perceptual_edge_loss : +0.0000, psnr : +17.5293, ssim : +0.5955
images_66 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.8068, nll : +0.0392, mse_loss : +0.0108, l1_loss : +0.0518, perceptual_edge_loss : +0.0000, psnr : +17.8282, ssim : +0.6192
images_66 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.7725, nll : +0.0391, mse_loss : +0.0121, l1_loss : +0.0551, perceptual_edge_loss : +0.6915, psnr : +17.4625, ssim : +0.6015
images_66 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.5446, nll : +0.0391, mse_loss : +0.0108, l1_loss : +0.0496, perceptual_edge_loss : +0.6558, psnr : +17.7917, ssim : +0.6229
images_66 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.5079, nll : +0.0391, mse_loss : +0.0102, l1_loss : +0.0480, perceptual_edge_loss : +0.6444, psnr : +18.0004, ssim : +0.6339
images_66 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.5073, nll : +0.0391, mse_loss : +0.0103, l1_loss : +0.0485, perceptual_edge_loss : +0.0652, psnr : +17.9630, ssim : +0.6315
images_66 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.5018, nll : +0.0391, mse_loss : +0.0097, l1_loss : +0.0465, perceptual_edge_loss : +0.0631, psnr : +18.1952, ssim : +0.6433
images_66 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4631, nll : +0.0391, mse_loss : +0.0098, l1_loss : +0.0470, perceptual_edge_loss : +0.0634, psnr : +18.0387, ssim : +0.6406
images_66 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4693, nll : +0.0391, mse_loss : +0.0098, l1_loss : +0.0470, perceptual_edge_loss : +0.0064, psnr : +18.1545, ssim : +0.6432
images_66 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.4258, nll : +0.0391, mse_loss : +0.0081, l1_loss : +0.0427, perceptual_edge_loss : +0.0064, psnr : +18.7360, ssim : +0.6677
images_66 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.4210, nll : +0.0391, mse_loss : +0.0075, l1_loss : +0.0414, perceptual_edge_loss : +0.0061, psnr : +18.9361, ssim : +0.6782
images_67 : Stage: [1/5], Iter: [1/200], ftr_loss : +2.6737, nll : +0.0449, mse_loss : +0.0292, l1_loss : +0.1025, perceptual_edge_loss : +0.0000, psnr : +13.8859, ssim : +0.6339
images_67 : Stage: [1/5], Iter: [100/200], ftr_loss : +4.0337, nll : +0.0433, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0000, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [1/5], Iter: [200/200], ftr_loss : +4.0337, nll : +0.0417, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0000, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [2/5], Iter: [1/200], ftr_loss : +4.0337, nll : +0.0417, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0000, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [2/5], Iter: [100/200], ftr_loss : +4.0337, nll : +0.0410, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0000, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [2/5], Iter: [200/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0000, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [3/5], Iter: [1/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.9852, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [3/5], Iter: [100/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.9852, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [3/5], Iter: [200/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.9852, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [4/5], Iter: [1/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0985, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [4/5], Iter: [100/200], ftr_loss : +4.0337, nll : +0.0402, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0985, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [4/5], Iter: [200/200], ftr_loss : +4.0337, nll : +0.0401, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0985, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [5/5], Iter: [1/200], ftr_loss : +4.0337, nll : +0.0401, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0099, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [5/5], Iter: [100/200], ftr_loss : +4.0337, nll : +0.0401, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0099, psnr : +7.8440, ssim : +0.7051
images_67 : Stage: [5/5], Iter: [200/200], ftr_loss : +4.0336, nll : +0.0401, mse_loss : +0.1225, l1_loss : +0.2520, perceptual_edge_loss : +0.0099, psnr : +7.8440, ssim : +0.7051
images_68 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.4402, nll : +0.0514, mse_loss : +0.0450, l1_loss : +0.1653, perceptual_edge_loss : +0.0000, psnr : +13.1958, ssim : +0.1749
images_68 : Stage: [1/5], Iter: [100/200], ftr_loss : +4.8162, nll : +0.0498, mse_loss : +0.0636, l1_loss : +0.1721, perceptual_edge_loss : +0.0000, psnr : +11.4790, ssim : +0.0224
images_68 : Stage: [1/5], Iter: [200/200], ftr_loss : +4.8162, nll : +0.0476, mse_loss : +0.0636, l1_loss : +0.1721, perceptual_edge_loss : +0.0000, psnr : +11.4790, ssim : +0.0224
images_68 : Stage: [2/5], Iter: [1/200], ftr_loss : +4.8162, nll : +0.0476, mse_loss : +0.0636, l1_loss : +0.1721, perceptual_edge_loss : +0.0000, psnr : +11.4790, ssim : +0.0224
